Longrich_et_Currie_2009b,0,0,0.0149253731343284,0.114605543710021,0.87046908315565,0
Dodick_et_Modesto_1995a,0,0,0.0170575692963753,0.121535181236674,0.861407249466951,0
Dilkes_et_Arcucci_inpressa,0,0,0.0127931769722814,0.144456289978678,0.84275053304904,0
Sachs_2005a,0,0,0.0159914712153518,0.140191897654584,0.843816631130064,0
Sequeira_et_Coates_2000a,0,0,0.017590618336887,0.138592750533049,0.843816631130064,0
Sampson_1995a,0,0,0.0250533049040512,0.148720682302772,0.826226012793177,0
Suzuki_etal_2004a,0,0,0.0309168443496802,0.150319829424307,0.818763326226013,0
Jouve_etal_2005a,0,0,0.0383795309168444,0.137526652452026,0.82409381663113,0
Alvarado-Ortega_et_Espinosa-Arrubarrena_2008a,0,0,0.0277185501066098,0.162579957356077,0.809701492537313,0
Schoch_et_Rubidge_2005a,0,0.00159914712153518,0.0287846481876333,0.160980810234542,0.80863539445629,0
Pinheiro_etal_2011a,0,0,0.0101279317697228,0.209488272921109,0.780383795309168,0
Parrish_1991a,0,0,0.0266524520255864,0.179637526652452,0.793710021321962,0
Chinnery_et_Weishampel_1998a,0,0,0.0303837953091684,0.174307036247335,0.795309168443497,0
Sidor_etal_2004a,0,0,0.0362473347547974,0.168976545842217,0.794776119402985,0
Harper_etal_2000a,0,0,0.0277185501066098,0.19136460554371,0.78091684434968,0
Gower_2002a,0,0,0.0399786780383795,0.167377398720682,0.792643923240938,0
Gasparini_etal_1993a,0,0,0.0389125799573561,0.1727078891258,0.788379530916844,0
Sanz_etal_1999a,0,0,0.0362473347547974,0.17910447761194,0.784648187633262,0
Naish_etal_2013aa,0,0,0.0394456289978678,0.173773987206823,0.786780383795309,0
Upchurch_etal_2004a,0,0.000533049040511727,0.0394456289978678,0.173240938166311,0.786780383795309,0
Adnet_et_Cappetta_2001a,0,0,0.0149253731343284,0.23134328358209,0.753731343283582,0
Nesbitt_etal_2009d,0,0.00426439232409382,0.0431769722814499,0.168443496801706,0.784115138592751,0
Schoch_2008a,0,0,0.0223880597014925,0.223347547974414,0.754264392324094,0
Benson_2010a,0,0,0.00426439232409382,0.261727078891258,0.734008528784648,0
Benton_2004a,0,0,0.0319829424307036,0.213752665245203,0.754264392324094,0
Chiappe_et_Calvo_1994a,0,0,0.0490405117270789,0.183901918976546,0.767057569296375,0
Steyer_2000ab,0,0,0.0517057569296375,0.198827292110874,0.749466950959488,0
Xu_etal_2000b,0,0.0154584221748401,0.0485074626865672,0.181769722814499,0.754264392324094,0
Kirkland_1998a,0,0,0.05863539445629,0.211620469083156,0.729744136460554,0
Rieppel_1989a,0,0,0.0623667377398721,0.215884861407249,0.721748400852879,0
Modesto_etal_2003c,0,0.000533049040511727,0.0858208955223881,0.230810234541578,0.682835820895522,0
Sereno_1999ag,0,0,0.0767590618336887,0.26226012793177,0.660980810234542,0
Rode_2005aa,0,0,0.0623667377398721,0.293710021321962,0.643923240938166,0
Surkov_et_Benton_2004a,0,0,0.0799573560767591,0.26865671641791,0.651385927505331,0
Cusack_etal_1999a,0,0,0.0111940298507463,0.406716417910448,0.582089552238806,0
Rauhut_etal_2005a,0,0,0.0453091684434968,0.342217484008529,0.612473347547974,0
Chiappe_et_Walker_2002a,0,0.000533049040511727,0.0954157782515992,0.24680170575693,0.65724946695096,0
Sereno_1999ab,0,0,0.0799573560767591,0.304371002132196,0.615671641791045,0
deBraga_et_Reisz_1996a,0,0,0.100213219616205,0.295842217484009,0.603944562899787,0
Holbrook_2001a,0,0.000533049040511727,0.106076759061834,0.307036247334755,0.5863539445629,0
Buscalioni_etal_1996a,0,0,0.133795309168444,0.278251599147122,0.587953091684435,0
Brazeau_2009a,0,0,0.0671641791044776,0.412046908315565,0.520788912579957,0
Donoghue_2001a,0,0,0.131130063965885,0.286247334754797,0.582622601279318,0
Allain_etal_2012a,0,0,0.0245202558635394,0.528251599147121,0.447228144989339,0
Evans_1991a,0,0.0101279317697228,0.135394456289979,0.308102345415778,0.54637526652452,0
Nesbitt_etal_2009c,0,0.00213219616204691,0.148720682302772,0.306503198294243,0.542643923240938,0
Martinez_etal_2011a,0,0,0.0415778251599147,0.547441364605544,0.410980810234542,0
Ahlberg_et_Clack_1998a,0,0,0.0724946695095949,0.505330490405117,0.422174840085288,0
